resource_id,primary_secondary,author,year,title,resource_type,resource_ISBN,resource_journal,resource_volume_pages,resource_notes
573,primary,"Davies, P. S.",1984,The role of zooxanthellae in the nutritional energy requirements of Pocillopora eyedouxi,paper,10.1007/BF00263571,Coral Reefs,"2, 181-186",""
492,primary,"Patterson, M. R., Sebens, K. P., Olson, R. R.",1991,In situ measurements of flow effects on primary production and dark respiration in reef corals,paper,10.4319/lo.1991.36.5.0936,Limnol. Oceangr.,"36, 936-948",""
507,primary,"Rex, A., Montebon, F., Yap, H. T.",1995,Metabolic responses of the scleractinian coral Porites cylindrica Dana to water motion. I. Oxygen flux studies,paper,10.1016/0022-0981(95)00150-p,Journal of Experimental Marine Biology and Ecology,"186, 33-52",""
580,primary,"Lesser, M. P.",2000,Depth-dependent photoacclimatization to solar ultraviolet radiation in the Caribbean coral Montastraea faveolata,paper,10.3354/meps192137,Marine Ecology Progress Series,"192, 137-151",""
555,primary,"Edmunds, P. J., Davies, P. S.",1986,An energy budget for Porites porites (Scleractinia),paper,10.1007/BF00392674,Marine Biology,"92, 339-347",""
584,primary,"Edmunds, P. J., Davies, P. S.",1989,"An energy budget for Porites porites (Scleractinia), growing in a stressed environment",paper,10.1007/bf00304690,Coral Reefs,"8, 37-43",""
575,primary,"Porter, J. W.",1980,Primary Productivity in the Sea: Reef Corals in Situ,book_chapter,10.1007/978-1-4684-3890-1_22,Primary Productivity in the Sea,", 403-410",""
574,primary,"Davies, P. S.",1980,Respiration in Some Atlantic Reef Corals in Relation to Vertical Distribution and Growth Form,paper,10.2307/1540930,Biological Bulletin,"158, 187",""
579,primary,"Castillo, K. D., Helmuth, B. S. T.",2005,Influence of thermal history on the response of Montastraea annularis to short-term temperature exposure,paper,10.1007/s00227-005-0046-x,Marine Biology,"148, 261-270",""
577,primary,"Bythell, J. C.",1988,A total nitrogen and carbon budget for the elkhorn coral Acropora palmata (Lamarck),conference_proceedings,"",Proc 6th ICRS,"2, 535-540",""
576,primary,"Gladfelter, E. H., Michel, G., Sanfelici, A.",1989,Metabolic gradients along a branch of the reef coral Acropora palmata,paper,"",Bulletin of Marine Science,"44, 1166-1173",""
466,primary,"Anthony, K. R., Fabricius, K. E.",2000,Shifting roles of heterotrophy and autotrophy in coral energetics under varying turbidity,paper,10.1016/s0022-0981(00)00237-9,Journal of Experimental Marine Biology and Ecology,"252, 221-253",""
502,primary,"Anthony, K. R. N., Hoegh Guldberg, O.",2003,"Variation in coral photosynthesis, respiration and growth characteristics in contrasting light microhabitats: an analogue to plants in forest gaps and understoreys?",paper,10.1046/j.1365-2435.2003.00731.x,Functional Ecology,"17, 246-259",""
581,primary,"Lesser, M. P., Weis, V. M., Patterson, M. R., Jokiel, P. L.",1994,"Effects of morphology and water motion on carbon delivery and productivity in the reef coral, Pocillopora damicornis (Linnaeus): Diffusion barriers, inorganic carbon limitation, and biochemical plasticity",paper,10.1016/0022-0981(94)90034-5,Journal of Experimental Marine Biology and Ecology,"178, 153-179",""
683,secondary,"Edmunds, P. J., Burgess, S. C., Putnam, H. M., Baskett, M. L., Bramanti, L., Fabina, N. S., Han, X., Lesser, M. P., Madin, J. S., Wall, C. B., Yost, D. M., Gates, R. D.",2014,Evaluating the causal basis of ecological success within the scleractinia: an integral projection model approach,paper,10.1007/s00227-014-2547-y,Marine Biology,"161, 2719-2734",""
