coral_id,day10_g_cm2
69,0.6121802034783158
26,0.6305569278103068
15,0.5022722373625659
87,0.48647894056376284
103,0.48264679256522064
41,0.3563710923024178
57,0.3182575120456246
59,0.32612709519471644
19,0.5786705177081448
106,0.48756227380011186
9,0.3947908081527262
49,0.3861898343294718
104,0.355686728128584
85,0.4958602958393086
25,0.5328484590108957
90,0.4563148450520273
52,0.6365633432028567
5,0.29082329882027397
7,0.2979670139779923
18,0.40831153353475835
23,0.5328259258655057
81,0.5009529788616132
46,0.5471950780624555
24,0.4621644135113625
43,0.34053578138684526
32,0.43500405608654386
63,0.4045681350043988
92,0.7046813985843485
76,0.47529231700362884
56,0.41917602483829275
98,0.43899030940986167
74,0.4797347471427915
97,0.3692965772987602
58,0.6006981121203819
51,0.49638944827996184
3,0.36193905276023725
78,0.4696489943245049
16,0.28537715959098076
77,0.4004936441945924
91,0.5024183935981523
108,0.3775036351137189
34,0.4685038380994044
37,0.4120895842265246
29,0.5257694277367014
12,0.30778549929092
54,0.6114788107428976
11,0.3813358651182045
42,0.40994082316419855
67,0.6090266837367627
101,0.5600877201555847
68,0.4115877323107262
62,0.48434776666525603
20,0.5737655505346179
75,0.3545865266036135
96,0.4567840123175461
45,0.3527173126120161
50,0.37552695395488106
99,0.4101348715898422
55,0.38989900376872105
89,0.45093222307458736
84,0.5189493787890437
17,NA
70,0.45300798237444545
94,0.584724705955877
28,0.47225103025220805
73,0.3763332145371577
14,0.5719666933221309
47,0.4038016497736064
33,0.4403899687855293
2,0.2618958095844083
35,0.7274501991434527
60,0.32852196091236363
102,0.4500357839427439
82,0.5414643804584501
38,0.5076755957515107
22,0.5166959227506648
21,0.4716581936938082
44,0.31206831147524844
53,0.527778639596308
105,0.33534656753027714
64,0.4608628464796821
88,0.6432036640232082
65,0.3282964892756894
107,0.6532542925523813
6,0.35046239349863934
1,0.3475254845068612
27,0.45105341376172375
4,0.3269577121406262
71,0.31471241603325495
83,0.4868368290869304
61,0.4566614119016897
48,0.488435394957542
100,0.459068938512206
93,0.44812865488632925
8,0.4273418853810703
66,0.27569835353380334
30,0.41685578365812753
39,0.37382338747736676
13,0.4203270328797345
86,0.47847575647695245
95,0.3779125339395089
36,0.4279212198332179
80,0.5125523054564091
10,0.39713911175177485
79,0.38224535657606473
31,0.5467716528896425
72,0.40894625500985515
40,0.3025225535386767
