coral_id,initial_g_cm2
105,0.4564681775534627
76,0.6991315919473566
18,0.6253622436742009
25,0.763678739998652
41,0.5017895596714259
64,0.8793916542598869
38,0.8419448654237061
21,0.6957939470068675
7,0.4892724582185587
93,0.5115651942724383
81,0.9114555734874624
4,0.523948058025128
3,0.5351731926132172
40,0.4680824204300234
75,0.48956019064620887
103,0.6810417396287101
23,0.7521454614276509
72,0.5815191608873558
91,0.6878115655288115
79,0.5054552856978278
6,0.5353622062987048
56,0.5721154832057865
58,0.673933730109607
51,0.8817243882256719
53,0.8960163926720324
33,0.7639335342445183
104,0.4866121901310975
66,0.3900065434910196
48,0.7612787595362516
27,0.5881698016896542
2,0.43399956542551893
83,0.7549393773111522
96,0.6085523319267405
60,0.4381029899227738
62,0.8473898391396684
102,0.7281543741102734
88,1.036515060460378
98,0.5430937876724125
1,0.5105223423365836
69,0.7608533084558226
52,0.8799653609780759
22,0.7935260907888988
32,0.5385451632967985
74,0.6374735829653645
17,0.7853005369395811
19,0.7868095502465607
26,0.9164671292310617
13,0.6862923538335027
11,0.5629013051138817
89,0.8247529084946698
77,0.6887397374606499
47,0.60720760435999
42,0.6470113015576432
71,0.48087345073301646
5,0.41161420687629724
82,0.7580502869374982
100,0.6007049814075619
45,0.6078234804647276
28,0.7556454112278543
55,0.5845026777232007
85,0.8557385023682172
14,0.8027104125568552
43,0.4887798742051126
30,0.7902456270320822
35,0.8706935025141471
87,0.8468573224690494
95,0.5396396451057617
37,0.811872218342079
59,0.4731181292353722
16,0.43073751174143043
10,0.4949865107113374
65,0.5121535794419546
101,0.6999102449217087
78,0.8416349681705352
15,0.7398033534423801
63,0.6720873033988296
46,0.7997486625780071
29,0.7334301546297497
9,0.5625805806310124
90,0.9617580783901277
97,0.48365645412485003
49,0.6195755241643325
54,0.7627665904058927
8,0.710359789022635
99,0.5270557841335339
92,0.718320115314472
70,0.6647281075867725
57,0.5306135408617708
50,0.5379779920087013
44,0.48099593941017404
12,0.38401332457108306
39,0.6016487311976476
61,0.6702058111361775
107,0.9127828944136392
106,0.5148550064737313
80,0.9317546478301945
73,0.709072082780659
34,0.7683177646343208
31,0.9056811869595348
67,0.8525211858600018
68,0.7896306579580716
84,0.7251455829555893
86,0.7559568374704212
94,0.8306848722868904
108,0.5414010839408345
36,0.6159719467602707
20,0.8602759809083647
24,0.7875065748571168
