coral_id,SA_post_wound
1,22.4680345
2,27.464088500000003
3,17.493568
4,21.648106698320767
5,36.804254
6,16.8488475
7,24.308393198320772
8,9.450771999999997
9,14.98997219832077
10,18.5601475
11,15.9021375
12,26.256994
13,11.086795198320768
14,11.717621198320769
15,10.858826500000001
16,24.96284769832077
17,9.556904
18,14.7492865
19,9.6147585
20,8.018931999999998
21,10.917466000000001
22,9.5967035
23,8.8449561
24,9.396297698320769
25,11.892519198320771
26,7.233492399999999
27,16.108204698320773
28,11.339482000000002
29,11.86119769832077
30,11.420258500000001
31,11.607250198320768
32,17.049415
33,9.64938169832077
34,10.827819000000002
35,7.299244
36,15.157251000000002
37,11.468536
38,8.613255499999998
39,13.212104198320768
40,26.901792999999998
41,19.703892500000002
42,14.144998198320767
43,21.33237969832077
44,18.579934198320768
45,16.59443369832077
46,9.00552
47,13.235728000000002
48,10.265759
49,14.041142698320769
50,17.7701235
51,8.444166500000001
52,6.279843000000001
53,8.235591999999999
54,8.6715025
55,13.903767698320769
56,13.8080715
57,15.113762000000003
58,9.715866500000002
59,15.862970698320769
60,18.8185695
61,10.005531500000002
62,8.04806019832077
63,10.585886698320769
64,7.920336000000002
65,15.965413198320771
66,23.426681198320768
67,9.7483655
68,8.815314500000001
69,7.841208000000002
70,10.904435
71,18.4731695
72,12.577584000000002
73,12.670061698320769
74,11.834738500000002
75,18.960105000000006
76,13.56190019832077
77,10.508481000000002
78,10.318594198320765
79,15.567653698320772
80,9.5758225
81,10.2396185
82,9.547959698320769
83,11.238845000000001
84,11.595627499999999
85,10.184747000000003
86,12.334234000000002
87,7.748661198320769
88,6.985479500000001
89,10.0967485
90,8.590883000000002
91,13.210529500000002
92,9.7731715
93,18.440753698320766
94,12.82015369832077
95,18.211058
96,15.229706499999999
97,22.4110435
98,20.20676819832077
99,16.5598105
100,12.7046755
101,10.035287698320769
102,9.88488169832077
103,13.206604500000001
104,23.275961198320772
105,24.099971
106,18.5364405
107,7.4710804999999985
108,14.707603
