"","coral_id","time_point","healed","percent_healed"
"1",4,"0","0",0.666666666666667
"2",4,"1","0",0.666666666666667
"3",4,"10","0",0.666666666666667
"4",4,"19","0",0.666666666666667
"5",6,"0","0",0.333333333333333
"6",6,"1","0",0.333333333333333
"7",6,"10","0",0.666666666666667
"8",6,"19","1",1
"9",10,"0","0",0.666666666666667
"10",10,"1","0",0.666666666666667
"11",10,"10","0",0.666666666666667
"12",10,"19","1",1
"13",13,"0","0",0
"14",13,"1","0",0
"15",13,"10","0",0.666666666666667
"16",13,"19","1",1
"17",22,"0","0",0.666666666666667
"18",22,"1","0",0.666666666666667
"19",22,"10","0",0.666666666666667
"20",22,"19","1",1
"21",27,"0","0",0
"22",27,"1","0",0
"23",27,"10","0",0.333333333333333
"24",27,"19","0",0.666666666666667
"25",30,"0","0",0.333333333333333
"26",30,"1","0",0.333333333333333
"27",30,"10","0",0.666666666666667
"28",30,"19","1",1
"29",31,"0","0",0
"30",31,"1","0",0
"31",31,"10","0",0.666666666666667
"32",31,"19","1",1
"33",38,"0","0",0.666666666666667
"34",38,"1","0",0.666666666666667
"35",38,"10","1",1
"36",38,"19","1",1
"37",39,"0","0",0
"38",39,"1","0",0
"39",39,"10","0",0.666666666666667
"40",39,"19","1",1
"41",44,"0","0",0
"42",44,"1","0",0
"43",44,"10","0",0.333333333333333
"44",44,"19","0",0.333333333333333
"45",48,"0","0",0.666666666666667
"46",48,"1","0",0.666666666666667
"47",48,"10","1",1
"48",48,"19","1",1
"49",65,"0","0",0
"50",65,"1","0",0
"51",65,"10","1",1
"52",65,"19","1",1
"53",66,"0","0",0
"54",66,"1","0",0
"55",66,"10","0",0.333333333333333
"56",66,"19","0",0.666666666666667
"57",71,"0","0",0.666666666666667
"58",71,"1","0",0.666666666666667
"59",71,"10","1",1
"60",71,"19","1",1
"61",72,"0","0",0.666666666666667
"62",72,"1","0",0.666666666666667
"63",72,"10","1",1
"64",72,"19","1",1
"65",79,"0","0",0.333333333333333
"66",79,"1","0",0.333333333333333
"67",79,"10","0",0.333333333333333
"68",79,"19","1",1
"69",80,"0","0",0.666666666666667
"70",80,"1","0",0.666666666666667
"71",80,"10","1",1
"72",80,"19","1",1
"73",82,"0","0",0.333333333333333
"74",82,"1","0",0.333333333333333
"75",82,"10","0",0.666666666666667
"76",82,"19","1",1
"77",88,"0","0",0.666666666666667
"78",88,"1","0",0.666666666666667
"79",88,"10","1",1
"80",88,"19","1",1
"81",93,"0","0",0
"82",93,"1","0",0
"83",93,"10","1",1
"84",93,"19","1",1
"85",100,"0","0",0.666666666666667
"86",100,"1","0",0.666666666666667
"87",100,"10","1",1
"88",100,"19","1",1
"89",102,"0","0",0.333333333333333
"90",102,"1","0",0.333333333333333
"91",102,"10","1",1
"92",102,"19","1",1
"93",105,"0","0",0.666666666666667
"94",105,"1","0",0.666666666666667
"95",105,"10","1",1
"96",105,"19","1",1
