"","coral_id","time_point","healed","wound","temp"
"1",4,19,0,"2","A"
"2",6,19,1,"1","A"
"3",10,19,1,"1","H"
"4",13,19,1,"2","H"
"5",22,19,1,"1","A"
"6",27,19,0,"2","A"
"7",30,19,1,"1","H"
"8",31,19,1,"2","H"
"9",38,10,1,"1","A"
"10",39,19,1,"2","H"
"11",44,19,0,"2","A"
"12",48,10,1,"1","H"
"13",65,10,1,"2","A"
"14",66,19,0,"2","H"
"15",71,10,1,"1","A"
"16",72,10,1,"1","H"
"17",79,19,1,"2","H"
"18",80,10,1,"1","H"
"19",82,19,1,"2","A"
"20",88,10,1,"1","A"
"21",93,10,1,"2","H"
"22",100,10,1,"1","H"
"23",102,10,1,"2","A"
"24",105,10,1,"1","A"
